user_id,age,location,content_liked,interest
9590,2,Canada,Music for Kids,Music
1825,4,Brazil,Cartoon Shows,Pets
1722,1,Australia,Cartoon Shows,Pets
3846,4,South Korea,Cartoon Shows,Cartoons
65,2,Brazil,Pet Videos,Pets
969,2,Japan,Cartoon Shows,Pets
5003,2,UK,Cartoon Shows,Cartoons
8881,1,Brazil,Music for Kids,Pets
4260,2,Germany,Cartoon Shows,Cartoons
824,1,South Korea,Cartoon Shows,Music
4214,2,Japan,Cartoon Shows,Pets
2893,4,Japan,Cartoon Shows,Pets
3307,4,Germany,Pet Videos,Pets
3719,3,Canada,Toy Reviews,Music
9953,4,Japan,Cartoon Shows,Toys
8588,3,France,Cartoon Shows,Toys
4327,4,France,Toy Reviews,Music
8649,1,South Korea,Music for Kids,Toys
5495,4,France,Music for Kids,Cartoons
7596,3,Japan,Cartoon Shows,Pets
3995,3,India,Music for Kids,Cartoons
463,2,Japan,Pet Videos,Music
1737,1,South Korea,Toy Reviews,Cartoons
1357,4,Brazil,Toy Reviews,Music
6010,2,Australia,Cartoon Shows,Music
668,4,Australia,Music for Kids,Music
8291,4,UK,Cartoon Shows,Music
8614,2,France,Pet Videos,Music
3621,2,France,Pet Videos,Pets
392,2,Germany,Music for Kids,Music
2385,2,USA,Toy Reviews,Cartoons
7575,2,Japan,Toy Reviews,Toys
5696,4,USA,Music for Kids,Pets
6164,2,India,Music for Kids,Music
2424,1,UK,Cartoon Shows,Pets
9766,3,Germany,Toy Reviews,Pets
6756,2,Brazil,Cartoon Shows,Cartoons
5009,2,France,Pet Videos,Toys
4010,4,France,Cartoon Shows,Music
8594,2,Brazil,Toy Reviews,Pets
6778,2,Germany,Toy Reviews,Music
226,2,Canada,Pet Videos,Pets
1342,4,Germany,Toy Reviews,Toys
3929,2,Japan,Music for Kids,Cartoons
2804,3,South Korea,Music for Kids,Pets
6840,4,South Korea,Pet Videos,Toys
8796,3,Australia,Toy Reviews,Cartoons
133,4,Canada,Pet Videos,Toys
3771,2,South Korea,Cartoon Shows,Music
7214,3,Germany,Toy Reviews,Cartoons
2836,4,Japan,Toy Reviews,Toys
9509,1,France,Music for Kids,Music
9320,2,Germany,Music for Kids,Toys
1964,4,Germany,Pet Videos,Cartoons
890,1,France,Music for Kids,Toys
6968,4,France,Music for Kids,Cartoons
9859,1,Brazil,Music for Kids,Music
9634,2,Canada,Music for Kids,Music
9019,3,USA,Toy Reviews,Cartoons
4608,1,Canada,Pet Videos,Toys
6372,4,USA,Cartoon Shows,Toys
8459,2,South Korea,Pet Videos,Music
687,1,Brazil,Music for Kids,Toys
9064,4,Australia,Toy Reviews,Toys
4648,4,Australia,Toy Reviews,Toys
6643,4,India,Pet Videos,Music
4880,1,Germany,Pet Videos,Pets
2740,1,India,Toy Reviews,Pets
9728,1,France,Pet Videos,Pets
878,3,South Korea,Cartoon Shows,Cartoons
293,1,USA,Cartoon Shows,Music
8729,1,France,Toy Reviews,Pets
2375,1,South Korea,Pet Videos,Music
3864,3,South Korea,Pet Videos,Cartoons
4543,1,UK,Cartoon Shows,Music
1559,4,Brazil,Toy Reviews,Pets
4440,1,Australia,Music for Kids,Music
9671,4,India,Cartoon Shows,Pets
9575,4,India,Pet Videos,Music
29,4,India,Cartoon Shows,Music
7757,3,France,Cartoon Shows,Toys
5756,3,Australia,Cartoon Shows,Cartoons
8072,3,Germany,Pet Videos,Music
3582,1,India,Cartoon Shows,Cartoons
573,4,Germany,Toy Reviews,Music
4051,7,France,Kids Movies,Games
3778,7,France,Pet Videos,Outdoor Activities
1350,5,South Korea,Craft Tutorials,Crafts
9789,7,Australia,Kids Movies,Cartoons
3809,9,Brazil,Kids Movies,Music
2578,6,Germany,Pet Videos,Cartoons
6593,11,USA,Craft Tutorials,Games
8129,6,Canada,Outdoor Games,Pets
8169,5,India,Pet Videos,Music
605,8,USA,Pet Videos,Outdoor Activities
4917,11,South Korea,Outdoor Games,Music
8706,5,Brazil,Outdoor Games,Cartoons
1700,8,Canada,Outdoor Games,Outdoor Activities
717,6,Australia,Craft Tutorials,Outdoor Activities
666,5,France,Outdoor Games,Outdoor Activities
8420,11,Japan,Kids Movies,Music
1364,11,Japan,Outdoor Games,Cartoons
5464,10,Japan,Craft Tutorials,Pets
7234,9,UK,Kids Movies,Crafts
5782,7,South Korea,Craft Tutorials,Outdoor Activities
8781,8,USA,Kids Movies,Outdoor Activities
8003,10,Japan,Kids Movies,Crafts
4799,7,UK,Kids Movies,Crafts
2856,7,USA,Craft Tutorials,Outdoor Activities
8023,5,Brazil,Outdoor Games,Cartoons
5753,7,Brazil,Pet Videos,Music
4988,9,South Korea,Educational Games,Games
2935,11,Japan,Craft Tutorials,Outdoor Activities
8941,10,Brazil,Educational Games,Crafts
8626,7,Germany,Kids Movies,Pets
7293,5,Japan,Kids Movies,Outdoor Activities
8445,9,Japan,Pet Videos,Games
3265,6,South Korea,Pet Videos,Outdoor Activities
2764,11,South Korea,Craft Tutorials,Music
3058,11,South Korea,Pet Videos,Outdoor Activities
5921,10,Canada,Craft Tutorials,Crafts
4410,11,Brazil,Educational Games,Pets
6844,7,Brazil,Outdoor Games,Cartoons
1080,5,Germany,Pet Videos,Games
8796,11,Canada,Outdoor Games,Crafts
6215,11,India,Kids Movies,Games
8792,6,Canada,Educational Games,Games
9259,6,India,Craft Tutorials,Games
9281,8,Australia,Educational Games,Games
3970,9,UK,Kids Movies,Games
2197,7,France,Craft Tutorials,Pets
3476,11,Germany,Craft Tutorials,Music
5390,11,USA,Kids Movies,Games
3004,5,Japan,Outdoor Games,Music
6582,8,Japan,Outdoor Games,Pets
9966,9,Germany,Educational Games,Games
9379,8,UK,Kids Movies,Cartoons
4945,10,Australia,Outdoor Games,Crafts
6132,9,UK,Educational Games,Games
4812,11,South Korea,Pet Videos,Games
4481,11,South Korea,Educational Games,Games
3202,9,South Korea,Educational Games,Pets
110,11,Brazil,Craft Tutorials,Cartoons
5685,7,Brazil,Kids Movies,Cartoons
557,9,Japan,Craft Tutorials,Crafts
2048,8,Brazil,Kids Movies,Music
299,9,South Korea,Educational Games,Outdoor Activities
2512,11,France,Pet Videos,Cartoons
487,7,UK,Kids Movies,Pets
4288,7,USA,Outdoor Games,Crafts
239,10,USA,Outdoor Games,Games
1387,8,India,Craft Tutorials,Music
9720,6,Japan,Educational Games,Cartoons
7757,6,Canada,Outdoor Games,Music
8024,9,India,Outdoor Games,Cartoons
1491,10,South Korea,Kids Movies,Games
3065,5,UK,Craft Tutorials,Cartoons
2441,9,USA,Educational Games,Pets
5957,10,Brazil,Pet Videos,Music
2368,8,Germany,Educational Games,Cartoons
3035,8,Brazil,Craft Tutorials,Cartoons
2108,8,Brazil,Educational Games,Cartoons
5939,8,USA,Kids Movies,Pets
4265,8,India,Outdoor Games,Music
4110,10,South Korea,Outdoor Games,Outdoor Activities
9736,10,Australia,Craft Tutorials,Music
4542,7,Australia,Craft Tutorials,Games
4522,6,UK,Craft Tutorials,Outdoor Activities
5642,11,India,Outdoor Games,Pets
3879,8,USA,Educational Games,Games
6332,5,Canada,Kids Movies,Pets
6524,11,South Korea,Craft Tutorials,Pets
9482,10,India,Kids Movies,Outdoor Activities
8975,5,USA,Craft Tutorials,Outdoor Activities
5616,5,France,Craft Tutorials,Cartoons
2957,5,USA,Pet Videos,Pets
5088,7,South Korea,Pet Videos,Outdoor Activities
9109,10,USA,Outdoor Games,Crafts
2757,5,India,Pet Videos,Pets
969,8,Canada,Kids Movies,Outdoor Activities
3204,9,USA,Outdoor Games,Games
9174,5,Brazil,Educational Games,Music
8235,7,India,Educational Games,Music
350,11,India,Educational Games,Games
9973,10,USA,Educational Games,Games
7084,7,Australia,Outdoor Games,Games
5286,5,India,Outdoor Games,Games
8491,10,Australia,Pet Videos,Crafts
4946,9,Australia,Craft Tutorials,Music
9570,5,South Korea,Educational Games,Cartoons
9770,7,UK,Kids Movies,Games
6746,6,Germany,Outdoor Games,Music
1862,8,UK,Pet Videos,Cartoons
1099,11,Brazil,Pet Videos,Pets
6303,7,UK,Kids Movies,Games
8164,10,Brazil,Educational Games,Games
9922,5,India,Kids Movies,Pets
8873,8,UK,Craft Tutorials,Cartoons
4923,5,Germany,Outdoor Games,Pets
3168,10,Germany,Educational Games,Cartoons
9921,5,Australia,Educational Games,Outdoor Activities
1156,6,France,Educational Games,Cartoons
4492,8,Germany,Educational Games,Crafts
8642,8,UK,Kids Movies,Pets
5405,10,Brazil,Outdoor Games,Crafts
3176,11,India,Craft Tutorials,Games
9630,6,India,Educational Games,Games
2760,7,UK,Outdoor Games,Cartoons
1260,5,UK,Pet Videos,Music
5774,9,Canada,Kids Movies,Outdoor Activities
7845,5,Australia,Kids Movies,Crafts
9269,5,UK,Craft Tutorials,Crafts
6792,7,Canada,Pet Videos,Outdoor Activities
870,5,Japan,Pet Videos,Music
8628,6,Australia,Craft Tutorials,Outdoor Activities
6795,6,Canada,Craft Tutorials,Music
3588,8,Brazil,Outdoor Games,Pets
8298,10,South Korea,Kids Movies,Music
3347,11,South Korea,Craft Tutorials,Pets
245,9,South Korea,Kids Movies,Crafts
7738,5,Germany,Educational Games,Games
7311,5,Canada,Kids Movies,Cartoons
7326,7,Japan,Kids Movies,Cartoons
8235,10,India,Outdoor Games,Outdoor Activities
7632,6,Canada,Pet Videos,Music
2111,9,USA,Outdoor Games,Crafts
9523,8,USA,Pet Videos,Outdoor Activities
5375,6,India,Kids Movies,Outdoor Activities
5391,10,France,Kids Movies,Music
942,11,Germany,Educational Games,Music
9780,8,Brazil,Craft Tutorials,Cartoons
8854,11,UK,Kids Movies,Outdoor Activities
5986,7,Japan,Kids Movies,Music
8253,7,France,Outdoor Games,Cartoons
5903,5,Canada,Outdoor Games,Cartoons
9938,11,Germany,Pet Videos,Cartoons
8202,10,UK,Educational Games,Cartoons
4891,9,Brazil,Kids Movies,Cartoons
2131,8,Australia,Kids Movies,Crafts
2159,6,UK,Outdoor Games,Cartoons
9859,10,Canada,Craft Tutorials,Pets
2690,10,Brazil,Educational Games,Cartoons
13,7,Brazil,Outdoor Games,Crafts
8000,11,UK,Pet Videos,Music
3684,5,Germany,Kids Movies,Music
653,5,UK,Educational Games,Cartoons
4513,8,Canada,Pet Videos,Pets
7690,7,Brazil,Pet Videos,Music
9581,10,Brazil,Craft Tutorials,Music
2654,9,India,Pet Videos,Music
8460,7,Canada,Outdoor Games,Music
6450,8,Brazil,Kids Movies,Pets
4785,8,UK,Kids Movies,Outdoor Activities
8809,7,USA,Kids Movies,Outdoor Activities
4617,8,France,Pet Videos,Crafts
1410,7,USA,Educational Games,Outdoor Activities
1722,6,South Korea,Kids Movies,Outdoor Activities
6767,7,Japan,Educational Games,Cartoons
1307,11,India,Educational Games,Crafts
497,7,France,Pet Videos,Games
6237,8,Australia,Craft Tutorials,Music
9408,11,USA,Craft Tutorials,Cartoons
1404,8,India,Outdoor Games,Music
11,5,Japan,Outdoor Games,Crafts
3004,5,Brazil,Educational Games,Crafts
3089,11,USA,Craft Tutorials,Cartoons
1790,6,Australia,Educational Games,Music
4839,5,Germany,Educational Games,Pets
974,7,Australia,Craft Tutorials,Cartoons
9492,8,Germany,Educational Games,Music
7690,5,South Korea,Kids Movies,Games
5874,5,Australia,Craft Tutorials,Pets
6476,6,Canada,Outdoor Games,Crafts
8284,11,France,Kids Movies,Music
5932,11,Japan,Outdoor Games,Pets
6362,10,South Korea,Pet Videos,Outdoor Activities
7742,6,Germany,Kids Movies,Outdoor Activities
9031,7,India,Pet Videos,Games
6982,11,Japan,Educational Games,Games
365,8,Brazil,Educational Games,Outdoor Activities
8161,6,South Korea,Kids Movies,Cartoons
3961,5,India,Craft Tutorials,Pets
353,8,Australia,Outdoor Games,Crafts
4508,8,USA,Pet Videos,Music
8299,5,UK,Educational Games,Pets
7013,6,Brazil,Craft Tutorials,Outdoor Activities
9754,5,Germany,Educational Games,Music
4019,10,France,Craft Tutorials,Games
3771,8,Australia,Pet Videos,Cartoons
1880,9,South Korea,Craft Tutorials,Outdoor Activities
8979,9,UK,Outdoor Games,Pets
7379,7,South Korea,Pet Videos,Pets
9117,11,Japan,Outdoor Games,Games
2378,5,Canada,Craft Tutorials,Cartoons
3161,5,India,Pet Videos,Cartoons
2587,7,Japan,Educational Games,Cartoons
5309,7,Germany,Educational Games,Cartoons
7987,7,Brazil,Craft Tutorials,Crafts
5770,8,UK,Educational Games,Outdoor Activities
9555,10,Brazil,Kids Movies,Outdoor Activities
5855,5,France,Outdoor Games,Outdoor Activities
7728,8,South Korea,Craft Tutorials,Crafts
4891,7,Canada,Kids Movies,Pets
7953,5,Brazil,Outdoor Games,Crafts
7759,8,Brazil,Pet Videos,Music
3414,10,South Korea,Outdoor Games,Outdoor Activities
7940,8,Brazil,Outdoor Games,Music
3082,10,USA,Educational Games,Cartoons
2934,7,Brazil,Pet Videos,Cartoons
5007,10,Brazil,Educational Games,Outdoor Activities
1691,5,India,Craft Tutorials,Games
3007,7,France,Pet Videos,Pets
4612,5,Japan,Kids Movies,Games
4491,9,USA,Kids Movies,Pets
3748,6,USA,Pet Videos,Games
8331,10,Brazil,Outdoor Games,Games
4301,6,Germany,Kids Movies,Crafts
6132,6,India,Outdoor Games,Outdoor Activities
4538,10,Australia,Educational Games,Outdoor Activities
2986,7,France,Educational Games,Music
3989,9,USA,Educational Games,Games
8769,5,USA,Outdoor Games,Music
8653,8,South Korea,Kids Movies,Cartoons
1833,5,USA,Craft Tutorials,Crafts
5168,8,USA,Kids Movies,Outdoor Activities
1752,5,Australia,Kids Movies,Cartoons
257,10,USA,Kids Movies,Outdoor Activities
2097,9,UK,Educational Games,Games
5122,8,India,Craft Tutorials,Crafts
5693,11,Canada,Kids Movies,Cartoons
4530,7,Canada,Kids Movies,Cartoons
977,5,Brazil,Pet Videos,Crafts
4513,5,South Korea,Outdoor Games,Games
8984,8,Germany,Craft Tutorials,Crafts
4184,7,USA,Educational Games,Pets
3645,7,USA,Craft Tutorials,Cartoons
2109,10,Germany,Pet Videos,Outdoor Activities
4333,11,Brazil,Pet Videos,Games
7940,10,Australia,Outdoor Games,Crafts
4569,10,France,Craft Tutorials,Crafts
1846,10,Canada,Craft Tutorials,Crafts
1510,10,UK,Outdoor Games,Cartoons
9765,10,UK,Outdoor Games,Outdoor Activities
1360,9,UK,Kids Movies,Outdoor Activities
3812,7,Brazil,Educational Games,Pets
2733,10,USA,Educational Games,Crafts
668,7,Japan,Educational Games,Games
9637,7,Canada,Craft Tutorials,Cartoons
1190,6,Japan,Kids Movies,Games
6605,9,Brazil,Outdoor Games,Pets
7786,10,India,Outdoor Games,Crafts
7373,5,South Korea,Pet Videos,Music
6339,8,France,Kids Movies,Cartoons
4103,11,UK,Craft Tutorials,Outdoor Activities
4712,5,Germany,Pet Videos,Cartoons
4866,9,France,Educational Games,Outdoor Activities
9678,8,USA,Educational Games,Games
4093,9,France,Kids Movies,Crafts
2667,7,Australia,Craft Tutorials,Outdoor Activities
2182,8,South Korea,Kids Movies,Crafts
5900,7,Brazil,Kids Movies,Crafts
7227,5,Canada,Outdoor Games,Outdoor Activities
4312,5,South Korea,Pet Videos,Music
9306,8,France,Kids Movies,Cartoons
2581,8,USA,Outdoor Games,Music
9554,10,Canada,Outdoor Games,Crafts
9841,9,UK,Craft Tutorials,Crafts
3023,10,Japan,Educational Games,Music
1075,9,South Korea,Craft Tutorials,Pets
6764,10,USA,Craft Tutorials,Pets
6328,7,South Korea,Educational Games,Crafts
501,8,UK,Kids Movies,Games
7235,5,USA,Pet Videos,Games
4285,9,Brazil,Pet Videos,Pets
4484,9,South Korea,Educational Games,Pets
4483,5,USA,Educational Games,Cartoons
8644,10,France,Kids Movies,Pets
5242,9,Australia,Outdoor Games,Pets
2589,11,Brazil,Pet Videos,Crafts
9972,7,USA,Pet Videos,Music
2838,8,USA,Pet Videos,Pets
7035,5,Brazil,Kids Movies,Outdoor Activities
4429,8,USA,Craft Tutorials,Outdoor Activities
9523,11,France,Kids Movies,Outdoor Activities
6469,9,USA,Kids Movies,Outdoor Activities
6861,13,USA,TikTok Trends,Sports
6218,14,Japan,YouTube Vlogs,Outdoor Activities
3771,13,UK,Craft Tutorials,Video Games
3484,13,India,Pop Music,Music
3042,14,USA,Craft Tutorials,Movies
67,13,Japan,Craft Tutorials,Video Games
2751,14,France,Pop Music,Crafts
6430,14,France,Craft Tutorials,Sports
6453,13,Japan,YouTube Vlogs,Outdoor Activities
6108,14,USA,Craft Tutorials,Video Games
930,13,Canada,Pop Music,Crafts
7974,14,Brazil,TikTok Trends,Crafts
2820,14,South Korea,YouTube Vlogs,Music
8481,13,USA,YouTube Vlogs,Sports
3320,14,France,Craft Tutorials,Outdoor Activities
7210,14,Canada,YouTube Vlogs,Music
2889,14,South Korea,TikTok Trends,Outdoor Activities
9434,14,UK,Pop Music,Movies
8720,14,UK,YouTube Vlogs,Video Games
9442,13,UK,Craft Tutorials,Music
898,14,Japan,YouTube Vlogs,Video Games
5014,13,Brazil,Action Movies,Crafts
4263,14,Australia,TikTok Trends,Movies
5641,13,Australia,YouTube Vlogs,Outdoor Activities
9474,13,USA,TikTok Trends,Video Games
3817,14,South Korea,Pop Music,Movies
2577,14,Germany,Craft Tutorials,Music
8900,14,Germany,TikTok Trends,Outdoor Activities
5970,13,UK,Pop Music,Sports
9169,14,Japan,Pop Music,Music
4269,13,Brazil,Craft Tutorials,Crafts
3873,13,Japan,YouTube Vlogs,Outdoor Activities
8008,13,Japan,Pop Music,Crafts
3554,14,Germany,Pop Music,Video Games
9400,14,Canada,Pop Music,Movies
3664,13,South Korea,TikTok Trends,Sports
97,13,Canada,Pop Music,Sports
6153,14,Germany,Craft Tutorials,Movies
4089,13,USA,Action Movies,Video Games
4300,14,USA,YouTube Vlogs,Crafts
8635,13,France,TikTok Trends,Sports
9025,14,India,TikTok Trends,Music
387,13,Japan,Craft Tutorials,Movies
9911,14,South Korea,TikTok Trends,Music
7029,13,India,YouTube Vlogs,Movies
6143,14,Brazil,YouTube Vlogs,Video Games
2485,14,France,TikTok Trends,Sports
6685,13,Canada,Action Movies,Video Games
7744,13,Australia,TikTok Trends,Outdoor Activities
6840,14,Japan,TikTok Trends,Movies
7939,13,Brazil,Pop Music,Crafts
3286,14,Brazil,TikTok Trends,Movies
4585,13,Brazil,Pop Music,Music
8027,14,France,YouTube Vlogs,Music
2274,14,USA,Craft Tutorials,Outdoor Activities
1678,14,Australia,Action Movies,Sports
1590,14,France,YouTube Vlogs,Movies
5730,14,Brazil,TikTok Trends,Music
3684,14,Germany,Craft Tutorials,Crafts
9696,13,Canada,TikTok Trends,Video Games
1869,13,Germany,Craft Tutorials,Music
6404,13,USA,TikTok Trends,Movies
6011,14,Brazil,Craft Tutorials,Crafts
4638,14,Australia,Craft Tutorials,Sports
8458,14,UK,TikTok Trends,Video Games
210,14,Japan,Craft Tutorials,Crafts
8607,13,South Korea,YouTube Vlogs,Outdoor Activities
3149,13,Australia,Craft Tutorials,Video Games
2788,14,UK,Action Movies,Video Games
850,13,France,Action Movies,Movies
1832,13,USA,Action Movies,Movies
5852,14,South Korea,Craft Tutorials,Video Games
6436,13,UK,Action Movies,Video Games
4723,14,Brazil,TikTok Trends,Movies
4577,13,Canada,YouTube Vlogs,Crafts
8709,14,USA,Craft Tutorials,Outdoor Activities
782,14,France,Action Movies,Crafts
4783,14,UK,Pop Music,Outdoor Activities
3081,14,UK,Pop Music,Sports
9532,13,France,Craft Tutorials,Crafts
1051,14,Australia,YouTube Vlogs,Sports
5485,14,India,YouTube Vlogs,Sports
1330,14,UK,Craft Tutorials,Crafts
3368,13,USA,Action Movies,Outdoor Activities
1574,14,India,Craft Tutorials,Sports
6251,13,France,TikTok Trends,Movies
1161,14,Japan,Pop Music,Outdoor Activities
5877,13,Germany,YouTube Vlogs,Music
4636,13,UK,YouTube Vlogs,Crafts
1080,14,Australia,Pop Music,Sports
1961,13,India,Action Movies,Music
1213,14,Canada,TikTok Trends,Music
420,14,USA,YouTube Vlogs,Music
5284,14,Brazil,Pop Music,Video Games
9633,13,Germany,Pop Music,Video Games
5138,13,Germany,Craft Tutorials,Music
592,14,Canada,YouTube Vlogs,Sports
2759,14,Brazil,Action Movies,Crafts
9997,13,Germany,YouTube Vlogs,Video Games
833,14,Germany,Craft Tutorials,Sports
5795,14,South Korea,Craft Tutorials,Crafts
7751,14,Australia,Action Movies,Music
578,13,South Korea,Action Movies,Sports
2732,13,Brazil,Pop Music,Sports
1421,13,Germany,Action Movies,Outdoor Activities
6035,14,USA,Craft Tutorials,Crafts
4356,14,USA,Pop Music,Crafts
8169,14,Canada,Action Movies,Music
5559,13,Germany,Pop Music,Movies
481,14,France,Pop Music,Video Games
2893,14,South Korea,TikTok Trends,Crafts
5791,14,Australia,Craft Tutorials,Outdoor Activities
8236,14,India,Pop Music,Outdoor Activities
4081,13,South Korea,Action Movies,Movies
4321,13,India,Pop Music,Movies
3425,14,India,Craft Tutorials,Video Games
6033,13,India,Action Movies,Crafts
7413,13,Germany,YouTube Vlogs,Music
2315,14,UK,Pop Music,Movies
8217,14,Brazil,Pop Music,Crafts
1190,13,Canada,YouTube Vlogs,Outdoor Activities
6885,14,UK,TikTok Trends,Crafts
7486,13,Brazil,TikTok Trends,Sports
9090,14,UK,YouTube Vlogs,Movies
3216,13,Germany,Action Movies,Crafts
3038,14,Canada,Craft Tutorials,Music
3132,13,France,TikTok Trends,Music
234,13,Australia,Action Movies,Movies
890,13,France,TikTok Trends,Crafts
428,14,Japan,Craft Tutorials,Music
7026,13,South Korea,Pop Music,Video Games
8327,13,Brazil,Pop Music,Music
8233,14,France,Action Movies,Music
5230,14,India,TikTok Trends,Movies
7172,13,Canada,YouTube Vlogs,Crafts
4262,13,Germany,Pop Music,Video Games
3089,14,South Korea,Action Movies,Music
2979,14,Germany,Action Movies,Outdoor Activities
4976,14,Australia,YouTube Vlogs,Movies
8091,14,Brazil,TikTok Trends,Sports
5404,14,Germany,Pop Music,Movies
3892,13,Australia,TikTok Trends,Crafts
8499,14,USA,YouTube Vlogs,Movies
243,13,USA,Craft Tutorials,Movies
6748,13,France,TikTok Trends,Crafts
1551,13,UK,Action Movies,Movies
8905,14,USA,TikTok Trends,Video Games
6573,13,France,YouTube Vlogs,Crafts
9697,13,Canada,Craft Tutorials,Movies
7219,14,France,Pop Music,Outdoor Activities
1691,13,UK,Pop Music,Video Games
5262,13,Canada,TikTok Trends,Crafts
5741,14,France,Craft Tutorials,Outdoor Activities
445,13,France,TikTok Trends,Outdoor Activities
4009,13,Germany,YouTube Vlogs,Sports
1464,13,USA,TikTok Trends,Video Games
5431,14,South Korea,Craft Tutorials,Outdoor Activities
2724,14,India,Craft Tutorials,Movies
8742,14,Japan,YouTube Vlogs,Movies
478,13,France,YouTube Vlogs,Movies
756,13,France,YouTube Vlogs,Movies
4151,14,Australia,Craft Tutorials,Outdoor Activities
7379,13,South Korea,Craft Tutorials,Crafts
5790,13,UK,Craft Tutorials,Music
4395,14,South Korea,Action Movies,Movies
1865,14,Brazil,TikTok Trends,Crafts
7631,13,South Korea,TikTok Trends,Crafts
6555,13,UK,Craft Tutorials,Sports
6205,13,UK,YouTube Vlogs,Outdoor Activities
7638,14,Brazil,Craft Tutorials,Sports
8105,14,India,Pop Music,Crafts
3408,14,UK,YouTube Vlogs,Music
7417,14,France,Pop Music,Movies
1898,13,Brazil,Pop Music,Music
4088,14,USA,Craft Tutorials,Movies
7256,14,Canada,Pop Music,Video Games
4868,14,Brazil,YouTube Vlogs,Movies
2723,14,Canada,Craft Tutorials,Video Games
6687,14,Germany,YouTube Vlogs,Outdoor Activities
5354,13,Australia,YouTube Vlogs,Sports
6173,13,Canada,Action Movies,Music
6306,14,UK,Pop Music,Video Games
7239,13,Japan,Pop Music,Crafts
8665,14,India,Action Movies,Sports
7000,14,India,Action Movies,Crafts
7825,13,France,YouTube Vlogs,Sports
26,13,India,YouTube Vlogs,Video Games
5155,14,USA,Pop Music,Movies
761,14,Germany,Pop Music,Video Games
1056,14,Brazil,TikTok Trends,Movies
9651,13,USA,Craft Tutorials,Outdoor Activities
4182,14,Australia,Pop Music,Sports
2811,14,Canada,Pop Music,Outdoor Activities
7273,14,Japan,Craft Tutorials,Crafts
6193,13,France,Action Movies,Music
1378,14,South Korea,Pop Music,Video Games
794,14,USA,YouTube Vlogs,Movies
5673,13,France,Craft Tutorials,Music
3964,14,India,YouTube Vlogs,Sports
1751,14,Brazil,YouTube Vlogs,Music
5746,13,Brazil,TikTok Trends,Movies
5939,14,Canada,TikTok Trends,Outdoor Activities
4854,13,Canada,YouTube Vlogs,Video Games
7934,13,Canada,Craft Tutorials,Sports
771,14,Japan,YouTube Vlogs,Crafts
9012,14,USA,YouTube Vlogs,Outdoor Activities
332,14,South Korea,YouTube Vlogs,Movies
6891,14,Japan,TikTok Trends,Sports
6026,13,France,Pop Music,Outdoor Activities
8420,14,South Korea,TikTok Trends,Movies
2866,13,Australia,YouTube Vlogs,Music
6186,14,Germany,YouTube Vlogs,Sports
66,14,UK,Pop Music,Video Games
7990,14,UK,Pop Music,Video Games
4693,13,France,YouTube Vlogs,Video Games
